UTC,FMS_ALT_PRES,FMS_TAS,FMS_SAT,FMS_LAT,FMS_LON,FMS_GRD_SPD,FMS_HDG,FMS_TRK,FMS_WNS,FMS_WND,IRS_PITCH,IRS_ROLL,IRS_VERT_ACC,ADC_IAS,GPS_ALT,A_DewPoint,A_CabinPressure,A_SurfTemp,A_TotalTemp,A_JNO2_Nadir,A_JNO2_Zenith,A_RadarAlt,C_StaticPressure,C_DiffPressure,C_StatTempDegC,C_PotTempDegK,C_MachNumber,C_CabAltitude,C_VaporPresWater,C_SatVaporPresWater,C_SatVaporPresIce,C_MixingRatio,C_RelHumidity
78162,10854.5,243.79,9.5,39.538948,-105.066513,248.74,24.65,20.83,,,-1.81,11.9,-0.009,206.54,11565.1,-1.67,12.57,23.71,17.22,0.001656,0.00847,,675.31,63.584,9.85,316.606,0.361,4260.4541,5.424,12.1967,13.4101,5.03606,45.87
78163,10840.2,242.51,9.57,39.539989,-105.065956,248.61,25.51,22.08,,,-1.85,12.02,-0.06,206.04,11548.1,-1.54,12.569,24.65,17.16,0.001641,0.008469,,675.71,64.338,9.71,316.394,0.363,4262.5312,5.4794,12.0802,13.2638,5.08497,44.73
78164,10821.2,237.93,9.93,39.541054,-105.065331,248.51,26.08,23.13,,,-1.79,12.49,-0.008,206.63,11527.6,-1.4,12.569,25.51,17.29,0.001641,0.008467,,676.33,62.015,10.1,316.749,0.356,4263.125,5.5337,12.4028,13.6694,5.13104,45.37
78165,10801.2,237.7,9.65,39.542084,-105.06472,248.62,26.94,24.17,,,-1.89,13.28,-0.051,207.59,11506.0,-1.21,12.568,26.23,17.52,0.001687,0.00846,,676.64,63.888,10.12,316.727,0.361,4264.0615,5.6114,12.4173,13.6877,5.20122,44.2
78166,10780.2,237.11,10.35,39.543114,-105.064072,248.61,28.1,25.04,,,-1.83,16.73,0.006,208.94,11487.8,-1.11,12.568,26.65,17.53,0.001736,0.008416,,677.29,64.176,10.1,316.623,0.362,4264.2173,5.6531,12.4045,13.6715,5.23515,46.77
78167,10763.0,240.02,9.5,39.544151,-105.063416,248.51,29.51,26.24,,,-1.88,19.03,0.007,208.19,11465.3,-1.13,12.568,26.68,17.53,0.001751,0.008389,,677.79,64.736,10.06,316.501,0.363,4265.606,5.6444,12.3626,13.6186,5.22311,46.29
78168,10745.5,243.34,9.57,39.545177,-105.062706,248.61,31.2,27.66,,,-1.93,19.3,-0.003,208.43,11441.8,-1.13,12.567,26.33,17.6,0.001749,0.008384,,678.32,66.606,9.93,316.288,0.368,4267.5308,5.6456,12.2569,13.4857,5.22021,46.47
78169,10723.0,245.24,10.0,39.546154,-105.061974,248.5,32.93,29.58,,,-1.85,21.09,-0.021,209.55,11420.0,-1.09,12.566,25.73,17.67,0.001769,0.008363,,678.85,66.302,10.03,316.334,0.367,4268.6431,5.6625,12.3434,13.5946,5.23183,45.86
78170,10701.2,244.86,10.0,39.547157,-105.061142,248.49,34.81,31.34,,,-1.74,24.28,0.007,209.91,11396.5,-0.97,12.566,25.03,17.64,0.001808,0.008317,,679.34,65.942,10.04,316.277,0.366,4269.3604,5.7109,12.3502,13.603,5.27298,46.9
78171,10677.2,242.95,10.0,39.5481,-105.060326,248.36,37.06,33.14,,,-1.52,28.46,0.005,210.77,11372.9,-0.63,12.565,24.3,17.78,0.001855,0.008257,,679.9,67.893,9.98,316.131,0.371,4270.6494,5.8556,12.2978,13.5371,5.40325,49.34
